"","coordinate","Abs.600","GFP.flu","green.intensity","plate","OD.600","GFP","row","column"
"217","E07",0.0759999975562096,9009,2752,2,0.0277666635811329,9008.98248553403,5,7
"218","E07",0.0732999965548515,7440,3655,1,0.0250666625797749,7439.98418862218,5,7
"219","E07",0.0756999999284744,3580,43,3,0.0274666659533978,3579.98267476448,5,7
"220","E07",0.0776999965310097,14821,3569,4,0.029466662555933,14820.9814132203,5,7
"221","E08",0.0760999992489815,9934,3870,2,0.0278666652739048,9933.98242245565,5,8
"222","E08",0.0741000026464462,4423,301,1,0.0258666686713696,4422.98368399981,5,8
"223","E08",0.0804999992251396,9024,688,4,0.0322666652500629,9023.97964705378,5,8
"224","E08",0.0767000019550323,4347,172,3,0.0284666679799557,4346.98204399005,5,8
"225","E09",0.0741999968886375,5237,559,1,0.0259666629135609,5236.98362092613,5,9
"226","E09",0.0778999999165535,13396,1806,4,0.0296666659414768,13395.9812870635,5,9
"227","E09",0.0744000002741814,10294,3698,3,0.0261666662991047,10293.9834947694,5,9
"228","E09",0.0780000016093254,6555,774,2,0.0297666676342487,6554.98122398516,5,9
"229","E10",0.0733999982476234,15729,3096,4,0.0251666642725468,15728.9841255438,5,10
"230","E10",0.0776999965310097,6733,688,2,0.029466662555933,6732.98141322031,5,10
"231","E10",0.0756999999284744,9099,1462,3,0.0274666659533978,9098.98267476448,5,10
"232","E10",0.0728999972343445,4561,387,1,0.0246666632592678,4560.98444093101,5,10
"233","E11",0.0772999972105026,15179,2580,4,0.0290666632354259,15178.9816655291,5,11
"234","E11",0.0771000012755394,10908,2881,2,0.0288666673004627,10907.9817916812,5,11
"235","E11",0.0749000012874603,9594,3225,1,0.0266666673123837,9593.98317938214,5,11
"236","E11",0.0755999982357025,5486,344,3,0.0273666642606258,5485.98273784286,5,11
"237","E12",0.0745000019669533,17350,3268,4,0.0262666679918766,17349.983431691,5,12
"238","E12",0.0766000002622604,10914,1462,2,0.0283666662871838,10913.9821070684,5,12
"239","E12",0.0754999965429306,10976,1720,3,0.0272666625678539,10975.9828009212,5,12
"240","E12",0.0767000019550323,7426,903,1,0.0284666679799557,7425.98204399005,5,12
"241","F01",0.0738999992609024,6694,2021,3,0.0256666652858257,6693.98381015658,6,1
"242","F01",0.0733999982476234,5243,2967,2,0.0251666642725468,5242.98412554379,6,1
"243","F01",0.0785999968647957,8714,1634,4,0.030366662889719,8713.98084552426,6,1
"244","F01",0.0698999986052513,4996,3483,1,0.0216666646301746,4995.98633324961,6,1
"245","F02",0.0700000002980232,5806,3655,2,0.0217666663229465,5805.98627017123,6,2
"246","F02",0.0679000020027161,3531,172,1,0.0196666680276394,3530.98759479377,6,2
"247","F02",0.0737999975681305,7277,1935,3,0.0255666635930538,7276.98387323496,6,2
"248","F02",0.0763000026345253,11459,3182,4,0.0280666686594486,11458.9822962989,6,2
"249","F03",0.0724000036716461,6680,3440,2,0.0241666696965694,6679.98475631353,6,3
"250","F03",0.0714000016450882,5678,3612,1,0.0231666676700115,5677.98538708796,6,3
"251","F03",0.0781999975442886,7907,860,4,0.029966663569212,7906.9810978331,6,3
"252","F03",0.0750999972224236,9099,3827,3,0.0268666632473469,9098.98305323008,6,3
"253","F04",0.0768999978899956,11025,1677,4,0.0286666639149189,11024.981917838,6,4
"254","F04",0.0732999965548515,6215,989,2,0.0250666625797749,6214.98418862218,6,4
"255","F04",0.0737999975681305,7723,1505,3,0.0255666635930538,7722.98387323496,6,4
"256","F04",0.0731000006198883,5830,2150,1,0.0248666666448116,5829.98431477424,6,4
"257","F05",0.0746999979019165,9245,3268,3,0.0264666639268398,9244.98330553891,6,5
"258","F05",0.0741999968886375,6265,1075,2,0.0259666629135609,6264.98362092613,6,5
"259","F05",0.0769999995827675,6692,516,4,0.0287666656076908,6691.9818547596,6,5
"260","F05",0.0724000036716461,6179,2666,1,0.0241666696965694,6178.98475631353,6,5
"261","F06",0.0744000002741814,5976,731,2,0.0261666662991047,5975.98349476936,6,6
"262","F06",0.0731000006198883,9495,3956,3,0.0248666666448116,9494.98431477424,6,6
"263","F06",0.0715999975800514,6708,3010,1,0.0233666636049747,6707.98526093589,6,6
"264","F06",0.0791999995708466,10812,1118,4,0.0309666655957699,10811.9804670587,6,6
"265","F07",0.0749000012874603,9084,3397,2,0.0266666673123837,9083.98317938214,6,7
"266","F07",0.0724999979138374,5805,645,3,0.0242666639387608,5804.98469323984,6,7
"267","F07",0.0776999965310097,14216,3053,4,0.029466662555933,14215.9814132203,6,7
"268","F07",0.0736000016331673,7695,3311,1,0.0253666676580906,7694.98399938703,6,7
"269","F08",0.0754999965429306,8380,1935,2,0.0272666625678539,8379.98280092125,6,8
"270","F08",0.0758000016212463,10509,3354,3,0.0275666676461697,10508.9826116861,6,8
"271","F08",0.0798999965190887,12110,1376,4,0.0316666625440121,12109.9800255194,6,8
"272","F08",0.0719999969005585,6306,1161,1,0.0237666629254818,6305.98500862706,6,8
"273","F09",0.0767000019550323,10206,3311,2,0.0284666679799557,10205.98204399,6,9
"274","F09",0.0727000012993813,8482,3870,1,0.0244666673243046,8481.98456708308,6,9
"275","F09",0.0751999989151955,7075,774,3,0.0269666649401188,7074.9829901517,6,9
"276","F09",0.0793000012636185,5072,172,4,0.0310666672885418,5071.98040398028,6,9
"277","F10",0.0776000022888184,6378,516,2,0.0293666683137417,6377.981476294,6,10
"278","F10",0.0772000029683113,13614,1462,4,0.0289666689932346,13613.9817286028,6,10
"279","F10",0.0732999965548515,7355,1376,1,0.0250666625797749,7354.98418862218,6,10
"280","F10",0.0750000029802322,11785,3913,3,0.0267666690051556,11784.9831163038,6,10
"281","F11",0.0742999985814095,9463,2881,1,0.0260666646063328,9462.98355784775,6,11
"282","F11",0.0768999978899956,11255,3010,2,0.0286666639149189,11254.981917838,6,11
"283","F11",0.0773999989032745,14656,2150,4,0.0291666649281979,14655.9816024508,6,11
"284","F11",0.0773999989032745,6353,473,3,0.0291666649281979,6352.98160245076,6,11
"285","F12",0.0755999982357025,19288,3698,4,0.0273666642606258,19287.9827378429,6,12
"286","F12",0.0754999965429306,9899,2709,1,0.0272666625678539,9898.98280092125,6,12
"287","F12",0.0772999972105026,5278,301,3,0.0290666632354259,5277.98166552915,6,12
"288","F12",0.0772000029683113,11442,2064,2,0.0289666689932346,11441.9817286028,6,12
"289","G01",0.0719999969005585,5611,2709,3,0.0237666629254818,5610.98500862706,7,1
"290","G01",0.0786999985575676,9229,3010,4,0.0304666645824909,9228.98078244588,7,1
"291","G01",0.070200003683567,5116,2537,2,0.0219666697084904,5115.98614401446,7,1
"292","G01",0.0678000003099442,4291,2021,1,0.0195666663348675,4290.98765787216,7,1
"293","G02",0.0727000012993813,5589,2408,2,0.0244666673243046,5588.98456708308,7,2
"294","G02",0.0749000012874603,6876,2451,3,0.0266666673123837,6875.98317938214,7,2
"295","G02",0.0773999989032745,10139,2279,4,0.0291666649281979,10138.9816024508,7,2
"296","G02",0.0696000009775162,3930,516,1,0.0213666670024395,3929.98652248006,7,2
"297","G03",0.0737999975681305,6707,3913,2,0.0255666635930538,6706.98387323496,7,3
"298","G03",0.0755999982357025,7678,1978,3,0.0273666642606258,7677.98273784286,7,3
"299","G03",0.0780000016093254,12076,3913,4,0.0297666676342487,12075.9812239852,7,3
"300","G03",0.0719999969005585,5344,3569,1,0.0237666629254818,5343.98500862706,7,3
"301","G04",0.0776999965310097,14206,4095,4,0.029466662555933,14205.9814132203,7,4
"302","G04",0.0737000033259392,6473,1806,2,0.0254666693508625,6472.98393630864,7,4
"303","G04",0.0767000019550323,6233,817,3,0.0284666679799557,6232.98204399005,7,4
"304","G04",0.0733999982476234,5996,3526,1,0.0251666642725468,5995.98412554379,7,4
"305","G05",0.0781999975442886,3844,86,3,0.029966663569212,3843.9810978331,7,5
"306","G05",0.0767000019550323,10145,1333,4,0.0284666679799557,10144.98204399,7,5
"307","G05",0.0737999975681305,7626,2666,2,0.0255666635930538,7625.98387323496,7,5
"308","G05",0.0727000012993813,6482,3698,1,0.0244666673243046,6481.98456708308,7,5
"309","G06",0.0749000012874603,8605,2924,2,0.0266666673123837,8604.98317938214,7,6
"310","G06",0.0724000036716461,8102,2107,3,0.0241666696965694,8101.98475631353,7,6
"311","G06",0.0736000016331673,6826,3139,1,0.0253666676580906,6825.98399938703,7,6
"312","G06",0.0799999982118607,13166,1763,4,0.031766664236784,13165.979962441,7,6
"313","G07",0.0749000012874603,7252,989,3,0.0266666673123837,7251.98317938214,7,7
"314","G07",0.0759999975562096,8329,1634,2,0.0277666635811329,8328.98248553403,7,7
"315","G07",0.0778999999165535,15150,3225,4,0.0296666659414768,15149.9812870635,7,7
"316","G07",0.0749000012874603,7247,2107,1,0.0266666673123837,7246.98317938214,7,7
"317","G08",0.0769999995827675,5736,473,2,0.0287666656076908,5735.9818547596,7,8
