"","Randomized.Index","Well.Number","Time.Points","coordinate.long","coordinate.x","time","green.intensity","column","row","coordinate.y","Abs.600","GFP.flu","plate","experiment","OD.600","GFP"
"177",80,41,18000000,"D06","D6",NA,1763,6,4,"G9",0.0846000015735626,683,2,"repeat sunday",0.0364000015735626,682.976992976105
"178",81,86,18000000,"H03","H3",NA,3698,3,8,"G10",0.0847000032663345,813,2,"repeat sunday",0.0365000032663345,812.976929768928
"179",82,37,18000000,"D02","D2",NA,1591,2,4,"G11",0.0872000008821487,734,2,"repeat sunday",0.0390000008821487,733.975349617763
"180",83,43,18000000,"D08","D8",NA,1849,8,4,"G12",0.088299997150898,938,2,"repeat sunday",0.040099997150898,937.974654352946
"181",84,36,18000000,"D01","D1",NA,1548,1,4,"H1",0.0886000022292137,655,2,"repeat sunday",0.0404000022292137,654.974464731415
"182",85,10,18000000,"A11","A11",NA,430,11,1,"H2",0.0860000029206276,422,2,"repeat sunday",0.0378000029206276,421.976108089757
"183",86,73,18000000,"G02","G2",NA,3139,2,7,"H3",0.0851999968290329,836,2,"repeat sunday",0.0369999968290329,835.976613742462
"184",87,19,18000000,"B08","B8",NA,817,8,2,"H4",0.0863000005483627,549,2,"repeat sunday",0.0381000005483627,548.975918472936
"185",88,1,18000000,"A02","A2",NA,43,2,1,"H5",0.087399996817112,255,2,"repeat sunday",0.039199996817112,254.975223208119
"186",89,33,18000000,"C10","C10",NA,1419,10,3,"H6",0.0856999978423119,689,2,"repeat sunday",0.0374999978423119,688.976297711287
"187",90,88,18000000,"H05","H5",NA,3784,5,8,"H7",0.0859000012278557,897,2,"repeat sunday",0.0377000012278557,896.976171296934
"188",91,53,18000000,"E06","E6",NA,2279,6,5,"H8",0.0877000018954277,851,2,"repeat sunday",0.0395000018954277,850.975033586588
"189",92,3,18000000,"A04","A4",NA,129,4,1,"H9",0.0901999995112419,314,2,"repeat sunday",0.0419999995112419,313.973453435423
"190",93,58,18000000,"E11","E11",NA,2494,11,5,"H10",0.0873000025749207,872,2,"repeat sunday",0.0391000025749207,871.975286410586
"191",94,83,18000000,"G12","G12",NA,3569,12,7,"H11",0.089199997484684,1065,2,"repeat sunday",0.040999997484684,1064.97408549777
"192",95,13,18000000,"B02","B2",NA,559,2,2,"H12",0.0901999995112419,607,2,"repeat sunday",0.0419999995112419,606.973453435423
